"","id","date","tavg"
"1","RSM00028661",2002-01-01,-19
"2","RSM00028661",2002-01-02,-49
"3","RSM00028661",2002-01-03,-94
"4","RSM00028661",2002-01-04,-224
"5","RSM00028661",2002-01-05,-165
"6","RSM00028661",2002-01-06,-138
"7","RSM00028661",2002-01-07,-133
"8","RSM00028661",2002-01-08,-195
"9","RSM00028661",2002-01-09,-196
"10","RSM00028661",2002-01-10,-233
"11","RSM00028661",2002-01-11,-234
"12","RSM00028661",2002-01-12,-177
"13","RSM00028661",2002-01-13,-45
"14","RSM00028661",2002-01-14,-39
"15","RSM00028661",2002-01-15,-18
"16","RSM00028661",2002-01-16,-56
"17","RSM00028661",2002-01-17,-180
"18","RSM00028661",2002-01-18,-92
"19","RSM00028661",2002-01-19,-51
"20","RSM00028661",2002-01-20,-69
"21","RSM00028661",2002-01-21,-65
"22","RSM00028661",2002-01-22,-100
"23","RSM00028661",2002-01-23,-107
"24","RSM00028661",2002-01-24,-87
"25","RSM00028661",2002-01-25,-36
"26","RSM00028661",2002-01-26,-41
"27","RSM00028661",2002-01-27,-1
"28","RSM00028661",2002-01-28,-33
"29","RSM00028661",2002-01-29,-14
"30","RSM00028661",2002-01-30,-74
"31","RSM00028661",2002-01-31,-26
"32","RSM00028661",2002-02-01,-73
"33","RSM00028661",2002-02-02,-211
"34","RSM00028661",2002-02-03,-210
"35","RSM00028661",2002-02-04,-233
"36","RSM00028661",2002-02-05,-262
"37","RSM00028661",2002-02-06,-147
"38","RSM00028661",2002-02-07,-28
"39","RSM00028661",2002-02-08,-40
"40","RSM00028661",2002-02-09,-37
"41","RSM00028661",2002-02-10,-15
"42","RSM00028661",2002-02-11,-1
"43","RSM00028661",2002-02-12,-54
"44","RSM00028661",2002-02-13,-47
"45","RSM00028661",2002-02-14,-13
"46","RSM00028661",2002-02-15,2
"47","RSM00028661",2002-02-16,-28
"48","RSM00028661",2002-02-17,-48
"49","RSM00028661",2002-02-18,-44
"50","RSM00028661",2002-02-19,-39
"51","RSM00028661",2002-02-20,-111
"52","RSM00028661",2002-02-21,-23
"53","RSM00028661",2002-02-22,-24
"54","RSM00028661",2002-02-23,-99
"55","RSM00028661",2002-02-24,-68
"56","RSM00028661",2002-02-25,-33
"57","RSM00028661",2002-02-26,-16
"58","RSM00028661",2002-02-27,-38
"59","RSM00028661",2002-02-28,-30
"60","RSM00028661",2002-03-01,-46
"61","RSM00028661",2002-03-02,-24
"62","RSM00028661",2002-03-03,-13
"63","RSM00028661",2002-03-04,-20
"64","RSM00028661",2002-03-05,-38
"65","RSM00028661",2002-03-06,-53
"66","RSM00028661",2002-03-07,-30
"67","RSM00028661",2002-03-08,16
"68","RSM00028661",2002-03-09,20
"69","RSM00028661",2002-03-10,-40
"70","RSM00028661",2002-03-11,-35
"71","RSM00028661",2002-03-12,-11
"72","RSM00028661",2002-03-13,-60
"73","RSM00028661",2002-03-14,-68
"74","RSM00028661",2002-03-15,-30
"75","RSM00028661",2002-03-16,29
"76","RSM00028661",2002-03-17,-28
"77","RSM00028661",2002-03-18,-30
"78","RSM00028661",2002-03-19,20
"79","RSM00028661",2002-03-20,0
"80","RSM00028661",2002-03-21,16
"81","RSM00028661",2002-03-22,11
"82","RSM00028661",2002-03-23,27
"83","RSM00028661",2002-03-24,14
"84","RSM00028661",2002-03-25,-10
"85","RSM00028661",2002-03-26,-17
"86","RSM00028661",2002-03-27,-31
"87","RSM00028661",2002-03-28,-11
"88","RSM00028661",2002-03-29,-81
"89","RSM00028661",2002-03-30,-107
"90","RSM00028661",2002-03-31,-48
"91","RSM00028661",2002-04-01,-71
"92","RSM00028661",2002-04-02,-124
"93","RSM00028661",2002-04-03,-120
"94","RSM00028661",2002-04-04,-99
"95","RSM00028661",2002-04-05,-105
"96","RSM00028661",2002-04-06,-72
"97","RSM00028661",2002-04-07,-34
"98","RSM00028661",2002-04-08,7
"99","RSM00028661",2002-04-09,5
"100","RSM00028661",2002-04-10,-10
"101","RSM00028661",2002-04-11,-65
"102","RSM00028661",2002-04-12,-37
"103","RSM00028661",2002-04-13,58
